"code_dep","dep","code_commune","commune","inscrits","abstentions","t_abstention_inscrits","votants","t_votants_inscrits","blancs","t_blancs_inscrits","t_blancs_votants","nuls","t_nuls_inscrits","t_nuls_votants","exprimes","t_exprimes_inscrits","t_exprimes_votants","n_pan","nuance","sexe","nom","prenom","liste","sieges_ou_elus","sieges_secteurs","sieges_cc","voix","t_voix_inscrits","t_voix_exprimes"
"01","Ain","034","Belley",5757,2877,49.97,2880,50.03,51,0.89,1.77,56,0.97,1.94,2773,48.17,96.28,1,"LDIV","M","FOGNINI","Jean-Marc","REUNIR POUR BELLEY AVEC JEAN MARC FOGNINI",6,0,4,1248,21.68,45.01
"01","Ain","160","Ferney-Voltaire",3798,2280,60.03,1518,39.97,22,0.58,1.45,14,0.37,0.92,1482,39.02,97.63,1,"LDVC","M","MEYLAN","François","La Force de l'Union",3,0,0,366,9.64,24.7
"01","Ain","194","Jassans-Riottier",4357,2689,61.72,1668,38.28,17,0.39,1.02,10,0.23,0.6,1641,37.66,98.38,1,"LDVD","M","COLOMBIER","Jean-François","UN NOUVEL ÉLAN POUR JASSANS",4,0,0,415,9.52,25.29
"01","Ain","249","Miribel",6847,4064,59.35,2783,40.65,23,0.34,0.83,18,0.26,0.65,2742,40.05,98.53,1,"LDVD","M","GAITET","Jean-Pierre","Miribel pour tous, Miribel à tous",23,0,11,1391,20.32,50.73
"01","Ain","354","Saint-Genis-Pouilly",5015,3108,61.97,1907,38.03,12,0.24,0.63,15,0.3,0.79,1880,37.49,98.58,1,"LDVD","F","CHENU-DURAFOUR","Michelle","AGIR ENSEMBLE",6,0,1,734,14.64,39.04
"01","Ain","370","Saint-Laurent-sur-Saône",968,475,49.07,493,50.93,16,1.65,3.25,6,0.62,1.22,471,48.66,95.54,1,"LNC","M","DOUSSOT","Jacques","AIMER SAINT LAURENT",15,0,1,266,27.48,56.48
"01","Ain","378","Saint-Maurice-de-Gourdans",2233,1130,50.6,1103,49.4,10,0.45,0.91,7,0.31,0.63,1086,48.63,98.46,1,"LNC","M","VENET","Fabrice","Pour Saint Maurice : Engagement Ecoute Expérience",17,0,2,502,22.48,46.22
"01","Ain","389","Saint-Trivier-sur-Moignans",1351,718,53.15,633,46.85,5,0.37,0.79,2,0.15,0.32,626,46.34,98.89,1,"LNC","M","LANIER","Marcel","Avec vous, CONTINUONS !",15,0,2,345,25.54,55.11
"02","Aisne","003","Acy",812,295,36.33,517,63.67,1,0.12,0.19,3,0.37,0.58,513,63.18,99.23,1,"LNC","M","MATHAUT","Dominique","bien vivre a acy",12,0,1,253,31.16,49.32
"02","Aisne","086","Bichancourt",771,433,56.16,338,43.84,6,0.78,1.78,16,2.08,4.73,316,40.99,93.49,1,"LNC","F","DOURNEL","Florence","RÉ'INVENTER BICHANCOURT",3,0,0,136,17.64,43.04
